"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/1992","3,275.57","3,300.25","3,304.71","3,275.24","","1.99%"
"10/08/1992","3,211.55","3,219.19","3,223.20","3,201.49","","-1.11%"
"10/06/1992","3,247.76","3,234.31","3,273.53","3,245.67","","-2.05%"
"10/01/1992","3,315.72","3,303.93","3,329.80","3,301.76","","0.65%"
"09/30/1992","3,294.42","3,226.08","3,297.32","3,226.08","","3.09%"
"09/29/1992","3,195.75","3,192.96","3,224.16","3,179.65","","-1.37%"
"09/28/1992","3,239.98","3,252.18","3,258.60","3,231.74","","-0.51%"
"09/25/1992","3,256.59","3,249.02","3,256.59","3,249.02","","0.30%"
"09/24/1992","3,246.96","3,286.70","3,286.70","3,236.07","","-1.57%"
"09/22/1992","3,298.75","3,242.79","3,305.43","3,242.79","","0.73%"
"09/21/1992","3,274.74","3,340.04","3,341.60","3,263.64","","-3.22%"
"09/18/1992","3,383.62","3,385.36","3,385.36","3,340.76","","0.16%"
"09/17/1992","3,378.18","3,356.09","3,386.75","3,354.20","","-0.79%"
"09/16/1992","3,404.96","3,463.14","3,463.14","3,404.96","","-0.16%"
"09/15/1992","3,410.29","3,365.96","3,415.99","3,365.96","","4.14%"
"09/14/1992","3,274.85","3,205.67","3,274.85","3,205.67","","1.71%"
"09/11/1992","3,219.92","3,202.82","3,220.18","3,193.09","","0.66%"
"09/09/1992","3,198.69","3,192.42","3,200.25","3,178.81","","-0.09%"
"09/08/1992","3,201.46","3,205.32","3,205.32","3,187.47","","-0.78%"
"09/07/1992","3,226.52","3,172.71","3,250.02","3,172.71","","1.91%"
"09/04/1992","3,166.10","3,080.40","3,166.10","3,078.72","","2.81%"
"09/03/1992","3,079.53","3,062.69","3,099.66","3,048.40","","1.28%"
"09/02/1992","3,040.57","3,035.38","3,046.17","3,017.04","","-0.97%"
"09/01/1992","3,070.49","3,080.79","3,099.40","3,070.49","","1.28%"
"08/28/1992","3,031.63","3,013.54","3,033.65","3,009.77","","1.16%"
"08/27/1992","2,996.98","2,891.99","2,998.57","2,891.99","","3.01%"
"08/26/1992","2,909.32","2,947.56","2,947.56","2,864.79","","-1.69%"
"08/25/1992","2,959.41","3,020.82","3,021.59","2,959.41","","-3.07%"
"08/24/1992","3,053.12","3,051.28","3,071.52","3,041.39","","0.60%"
"08/21/1992","3,034.94","2,958.97","3,034.94","2,958.97","","1.33%"
"08/20/1992","2,995.25","3,018.20","3,059.22","2,995.25","","0.42%"
"08/19/1992","2,982.60","2,978.86","3,007.45","2,964.75","","2.09%"
"08/18/1992","2,921.53","2,875.61","2,921.53","2,869.41","","1.12%"
"08/17/1992","2,889.08","2,830.07","2,892.68","2,830.07","","3.36%"
"08/14/1992","2,795.18","2,720.53","2,795.18","2,720.53","","4.34%"
"08/12/1992","2,678.83","2,638.05","2,679.35","2,638.05","","-0.54%"
"08/11/1992","2,693.42","2,706.46","2,732.34","2,686.99","","0.94%"
"08/10/1992","2,668.25","2,598.77","2,668.98","2,597.50","","2.99%"
"08/07/1992","2,590.68","2,568.81","2,605.19","2,568.81","","2.42%"
"08/06/1992","2,529.59","2,594.45","2,595.37","2,529.59","","-3.83%"
"08/05/1992","2,630.23","2,676.50","2,681.42","2,628.20","","-2.09%"
"08/04/1992","2,686.49","2,699.45","2,700.26","2,676.82","","-1.33%"
"08/03/1992","2,722.65","2,721.02","2,730.82","2,697.04","","-0.16%"
"07/31/1992","2,727.06","2,717.56","2,727.06","2,698.75","","1.05%"
"07/30/1992","2,698.83","2,733.86","2,733.86","2,680.69","","-2.05%"
